subj,prop,obj,question,answers_list,s_pop,o_pop
Fear,author,Meg Cabot,Who is the author of Fear?,"['Meg Cabot', 'Patricia Cabot', 'Jenny Carroll', 'Meggin Patricia Cabot', 'Meggin Cabot', 'Heather Graham Pozzessere', 'Heather Graham', 'Shannon Drake']",289,5896
Weekend,author,William McIlvanney,Who is the author of Weekend?,['William McIlvanney'],75,4412
Empire,author,H. Beam Piper,Who is the author of Empire?,"['H. Beam Piper', 'Henry Beam Piper', 'Horace Beam Piper', 'Herbert Beam Piper']",82,1857
The Empire,author,D. C. Moore,Who is the author of The Empire?,['D. C. Moore'],81,228
Images,author,David Lynch,Who is the author of Images?,"['David Lynch', 'David Keith Lynch']",345,253037
Wireless,author,Charles Stross,Who is the author of Wireless?,"['Charles Stross', 'Charlie Stross']",110,6996
Doll,author,Mitsukazu Mihara,Who is the author of Doll?,['Mitsukazu Mihara'],324,260
Empire,author,Steven Saylor,Who is the author of Empire?,['Steven Saylor'],133,1908
Time of Your Life,author,Steve Lyons,Who is the author of Time of Your Life?,['Steve Lyons'],112,182
The Merry Men and Other Tales and Fables,author,Robert Louis Stevenson,Who is the author of The Merry Men and Other Tales and Fables?,"['Robert Louis Stevenson', 'Robert Lewis Balfour Stevenson', 'Robert Luis Stivensoni', 'Shih-ti-wen-sheng', 'Stivenson', 'Robert Loui Sitivensin', 'Robert Louis Balfour Stevenson', 'Robert Lui Stivenson', 'RL Stivenson', 'RL Stevenson', 'RLS']",267,63802
The Disk,author,Jorge Luis Borges,Who is the author of The Disk?,"['Jorge Luis Borges', 'Jorge Francisco Isidoro Luis Borges', 'Chorche Louis Borches', 'Jorge Luis Borges Acevedo', 'Horhe Luis Borhes', 'J. L. Borges', 'H. Bustos Domecq', 'Khorkhe Luyis Borkhes', 'Borges', 'Jorge Francisco Isidoro Luis Borges Acevedo']",246,42647
One of the Family,author,Monica Dickens,Who is the author of One of the Family?,"['Monica Dickens', 'Monica Enid Dickens']",70,1871
A Planet for the President,author,Alistair Beaton,Who is the author of A Planet for the President?,['Alistair Beaton'],158,190
Hope,author,Mark Clapham,Who is the author of Hope?,"['Mark Clapham', 'Mark  Clapham']",274,68
Bad Habits,author,Terrence McNally,Who is the author of Bad Habits?,['Terrence McNally'],262,7590
One Power,author,Robert Jordan,Who is the author of One Power?,"['Robert Jordan', 'James Oliver Rigney, Jr.']",203,44529
Les Vingt et un Jours d'un neurasthénique,author,Octave Mirbeau,Who is the author of Les Vingt et un Jours d'un neurasthénique?,"['Octave Mirbeau', 'Mirbeau', 'Octave Henri Marie Mirbeau']",180,1708
In High Places,author,Harry Turtledove,Who is the author of In High Places?,"['Harry Turtledove', 'Dan Chernenko', 'Eric G. Iverson', 'Mark Gordian', 'H.N. Turteltaub', 'Harry Norman Turtledove']",494,14215
Ping,author,Samuel Beckett,Who is the author of Ping?,"['Samuel Beckett', 'Samuel Barclay Beckett', 'Andrew Belis', 'Sam Beckett', 'Sa-miao-erh Pei-kʻo-tʻe', 'Samuel Beḳeṭ']",256,53965
Point of View,author,Isaac Asimov,Who is the author of Point of View?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",177,266562
The Culture of Collaboration,author,Evan Rosen,Who is the author of The Culture of Collaboration?,['Evan Rosen'],89,104
The Wild,author,Whitley Strieber,Who is the author of The Wild?,"['Whitley Strieber', 'Louis Whitley Strieber']",191,8260
Question,author,Isaac Asimov,Who is the author of Question?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",257,266562
Tricks,author,Ellen Hopkins,Who is the author of Tricks?,"['Ellen Hopkins', 'Ellen Louise Hopkins']",445,2084
Old Money,author,Wendy Wasserstein,Who is the author of Old Money?,['Wendy Wasserstein'],86,2727
A Darker Domain,author,Val McDermid,Who is the author of A Darker Domain?,['Val McDermid'],331,11401
The State,author,Franz Oppenheimer,Who is the author of The State?,['Franz Oppenheimer'],397,1262
Lord,author,Buronson,Who is the author of Lord?,['Buronson'],420,3269
Abel,author,Vittorio Alfieri,Who is the author of Abel?,"['Vittorio Alfieri', 'Count Vittorio Alfieri']",64,1501
The Lab,author,Jack Heath,Who is the author of The Lab?,['Jack Heath'],208,524
Señor Saint,author,Leslie Charteris,Who is the author of Señor Saint?,"['Leslie Charteris', 'Leslie Charles Bowyer-Yin']",68,4456
Het uur tussen hond en wolf,author,Maarten 't Hart,Who is the author of Het uur tussen hond en wolf?,"[""Maarten 't Hart"", 'Martin Hart']",50,430
Eclipse,author,James Swallow,Who is the author of Eclipse?,['James Swallow'],69,1050
Far Out,author,Damon Knight,Who is the author of Far Out?,"['Damon Knight', 'Damon Francis Knight', 'Stuart Fleming', 'Conanight']",101,2066
Precisely,author,Harold Pinter,Who is the author of Precisely?,['Harold Pinter'],112,26080
The True Deceiver,author,Tove Jansson,Who is the author of The True Deceiver?,"['Tove Jansson', 'Tove Marika Jansson', 'Tove M. Jansson']",242,17867
The Zero Game,author,Brad Meltzer,Who is the author of The Zero Game?,['Brad Meltzer'],155,6712
Timeless,author,Gail Carriger,Who is the author of Timeless?,['Gail Carriger'],152,1368
The Idea,author,Frans Masereel,Who is the author of The Idea?,"['Frans Masereel', 'Mai-sui-lai-le', 'Frants Maserel', 'Frans Masareel', 'Fa-lang-shih Mai-sui-lai-le', 'Masereel', 'Frans Maserell']",143,1255
The Valley,author,Barry Pilton,Who is the author of The Valley?,['Barry Pilton'],65,107
Facing the Future,author,Tim LaHaye,Who is the author of Facing the Future?,"['Tim LaHaye', 'Timothy LaHaye', 'Timothy F. ""Tim"" LaHaye', 'Timothy Francis LaHaye', 'Tim Francis LaHaye']",9,7872
First Law,author,Isaac Asimov,Who is the author of First Law?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",442,266562
The Moving Toyshop,author,Edmund Crispin,Who is the author of The Moving Toyshop?,"['Edmund Crispin', 'Robert Bruce Montgomery', 'Bruce Montgomery', 'Edmund Crispin']",418,1657
The Secret,author,Mike Richardson,Who is the author of The Secret?,['Mike Richardson'],104,2656
Passengers,author,Robert Silverberg,Who is the author of Passengers?,"['Robert Silverberg', 'Dozens']",465,10271
Line,author,Israel Horovitz,Who is the author of Line?,['Israel Horovitz'],372,3702
From Time to Time,author,Jack Finney,Who is the author of From Time to Time?,"['Jack Finney', 'Walter Braden Finney', 'John Finney']",446,7617
Titanic 2020,author,Colin Bateman,Who is the author of Titanic 2020?,"['Colin Bateman', 'Bateman']",254,908
The Boy Who Reversed Himself,author,William Sleator,Who is the author of The Boy Who Reversed Himself?,"['William Sleator', 'William Warner Sleator III']",434,1323
Home Free!,author,Lanford Wilson,Who is the author of Home Free!?,['Lanford Wilson'],176,1574
The Squirrel Wife,author,Philippa Pearce,Who is the author of The Squirrel Wife?,"['Philippa Pearce', 'Ann Philippa Pearce']",73,1041
Options,author,Robert Sheckley,Who is the author of Options?,['Robert Sheckley'],119,3292
Moving Day,author,Ralph Fletcher,Who is the author of Moving Day?,['Ralph Fletcher'],38,381
Proof,author,Riley Rossmo,Who is the author of Proof?,['Riley Rossmo'],356,235
Hospital,author,Toby Litt,Who is the author of Hospital?,['Toby Litt'],113,347
Coming Home,author,Jack McDevitt,Who is the author of Coming Home?,['Jack McDevitt'],189,2372
Close to Home,author,Deborah Moggach,Who is the author of Close to Home?,"['Deborah Moggach', 'Deborah Hough']",66,2782
Underground,author,Suelette Dreyfus,Who is the author of Underground?,['Suelette Dreyfus'],353,364
Nabokov's Butterflies,author,Brian Boyd,Who is the author of Nabokov's Butterflies?,"['Brian Boyd', 'Brian David Boyd']",222,671
The Fighting Ground,author,Avi,Who is the author of The Fighting Ground?,"['Avi', 'Edward Irving Wortis']",278,4390
The Chaos Code,author,Justin Richards,Who is the author of The Chaos Code?,"['Justin Richards', 'Justin C Richards']",56,485
August,author,Gerard Woodward,Who is the author of August?,['Gerard Woodward'],59,149
Aunt Jane's Nieces Abroad,author,L. Frank Baum,Who is the author of Aunt Jane's Nieces Abroad?,"['L. Frank Baum', 'ooke', 'Captain Hugh Fitzgerald', 'Suzanne Metcalf', 'Schuyler Staunton', 'Edith Van Dyne', 'George Brooks', 'Louis F. Baum', 'Capt. Hugh Fitzgerald', 'Lynman Frank Baum', 'Lyman Frank Baum']",111,30262
Rebellion,author,Joseph Roth,Who is the author of Rebellion?,"['Joseph Roth', 'Moses Joseph Roth']",194,4610
The Dancer Upstairs,author,Nicholas Shakespeare,Who is the author of The Dancer Upstairs?,"['Nicholas Shakespeare', 'Nicholas William Richmond Shakespeare', 'Nicholas W. R. Shakespeare']",268,1111
The Street,author,Mordecai Richler,Who is the author of The Street?,['Mordecai Richler'],150,4589
The Gray Cloth with Ten Percent White: A Ladies' Novel,author,Paul Scheerbart,Who is the author of The Gray Cloth with Ten Percent White: A Ladies' Novel?,"['Paul Scheerbart', 'Kuno Küfer', 'Scheerbart, Paul', 'Paul Carl Wilhelm Scheerbart', 'Paul Karl Wilhelm Scheerbart']",104,610
The Second Coming,author,Walker Percy,Who is the author of The Second Coming?,['Walker Percy'],371,8139
Kite,author,Melvin Burgess,Who is the author of Kite?,['Melvin Burgess'],89,868
Real World,author,Natsuo Kirino,Who is the author of Real World?,['Natsuo Kirino'],296,1841
Asleep,author,Banana Yoshimoto,Who is the author of Asleep?,"['Banana Yoshimoto', 'Yoshimoto Banana']",270,5394
America's Secret War,author,George Friedman,Who is the author of America's Secret War?,['George Friedman'],25,4935
Maximum Ride: Saving the World and Other Extreme Sports,author,James Patterson,Who is the author of Maximum Ride: Saving the World and Other Extreme Sports?,"['James Patterson', 'James Brendan Patterson', 'James B. Patterson']",478,43182
Death,author,Woody Allen,Who is the author of Death?,"['Woody Allen', 'Allan Stewart Konigsberg', 'Allen Stewart Konigsberg', 'Heywood Allen']",269,223466
Deadline,author,Seanan McGuire,Who is the author of Deadline?,"['Seanan McGuire', 'Mira Grant']",425,4962
Stronghold,author,Melanie Rawn,Who is the author of Stronghold?,"['Melanie Rawn', 'Melanie Robin Rawn']",145,1309
Black,author,Joyce Carol Oates,Who is the author of Black?,['Joyce Carol Oates'],75,43252
Enter the Saint,author,Leslie Charteris,Who is the author of Enter the Saint?,"['Leslie Charteris', 'Leslie Charles Bowyer-Yin']",448,4456
Take a Good Look,author,Jacqueline Wilson,Who is the author of Take a Good Look?,"['Jacqueline Wilson', 'Dame Jacqueline Wilson']",142,12354
At Night,author,Franz Kafka,Who is the author of At Night?,"['Franz Kafka', 'František Kafka', 'Kafka']",188,118171
The Test,author,Mary Tappan Wright,Who is the author of The Test?,['Mary Tappan Wright'],53,110
Darkness,author,Bharati Mukherjee,Who is the author of Darkness?,['Bharati Mukherjee'],56,2461
Now and Then,author,Joseph Heller,Who is the author of Now and Then?,['Joseph Heller'],145,12175
New Lands,author,Charles Fort,Who is the author of New Lands?,"['Charles Fort', 'Charles Hoy Fort']",229,7175
The Months,author,Giambattista Basile,Who is the author of The Months?,"['Giambattista Basile', 'Giovanni Battista Basile', 'Giovanni B. Basile', 'Gian Alesio Abbattutis']",169,2820
Chelsea on the Edge,author,Davi Napoleon,Who is the author of Chelsea on the Edge?,['Davi Napoleon'],66,158
The Calder Game,author,Blue Balliett,Who is the author of The Calder Game?,['Blue Balliett'],247,485
Invasion,author,Dean Koontz,Who is the author of Invasion?,"['Dean Koontz', 'Dean Ray Koontz', 'Aaron Wolfe', 'Brian Coffey', 'David Axton', 'Deanna Dwyer', 'John Hill', 'K.R. Dwyer', 'Leigh Nichols', 'Anthony North', 'Owen West', 'Richard Paige']",337,21634
Gold,author,Isaac Asimov,Who is the author of Gold?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",304,266562
Make Love! The Bruce Campbell Way,author,Bruce Campbell,Who is the author of Make Love! The Bruce Campbell Way?,"['Bruce Campbell', 'Bruce Lorne Campbell']",301,93377
East,author,Steven Berkoff,Who is the author of East?,"['Steven Berkoff', 'Leslie Steven Berkoff']",383,24899
Christine,author,Elizabeth von Arnim,Who is the author of Christine?,"['Elizabeth von Arnim', 'Mary Annette Beauchamp', 'Alice Cholmondeley', 'Countess Elizabeth Mary Russell', 'Elizabeth']",369,3494
Men and Women,author,David Belasco,Who is the author of Men and Women?,['David Belasco'],91,2961
One More Time,author,Carol Burnett,Who is the author of One More Time?,"['Carol Burnett', 'Carol Creighton Burnett']",98,104043
Glasses,author,Henry James,Who is the author of Glasses?,"['Henry James', 'Henricus James']",206,42955
The Arrangement,author,Elia Kazan,Who is the author of The Arrangement?,"['Elia Kazan', 'Elias Kazantzoglou']",328,58176
Memoir,author,John McGahern,Who is the author of Memoir?,"['John McGahern', 'Sean']",106,2237
No Future,author,Paul Cornell,Who is the author of No Future?,"['Paul Cornell', 'Paul Douglas Cornell']",150,1724
Easy Go,author,Michael Crichton,Who is the author of Easy Go?,"['Michael Crichton', 'John Michael Crichton', 'Michael Douglas', 'Jeffery Hudson', 'John Lange']",259,77167
Smash,author,Garson Kanin,Who is the author of Smash?,['Garson Kanin'],340,8538
Long Live the King,author,The Decemberists,Who is the author of Long Live the King?,['The Decemberists'],188,71553
The Deep,author,Isaac Asimov,Who is the author of The Deep?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",145,266562
About Time,author,Paul Davies,Who is the author of About Time?,"['Paul Davies', 'Paul Charles William Davies']",297,4704
Kin,author,Bruce McAllister,Who is the author of Kin?,['Bruce McAllister'],163,241
Youth,author,Isaac Asimov,Who is the author of Youth?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",318,266562
The Mystery of the Missing Necklace,author,Enid Blyton,Who is the author of The Mystery of the Missing Necklace?,"['Enid Blyton', 'Enid Mary Blyton', 'Mary Pollock']",364,39187
Love's Welcome at Bolsover,author,Ben Jonson,Who is the author of Love's Welcome at Bolsover?,"['Ben Jonson', 'Benjamin Jonson']",105,20909
Unknown,author,Stanley Schmidt,Who is the author of Unknown?,"['Stanley Schmidt', 'Stanley Albert Schmidt']",42,252
Cross My Heart and Hope to Spy,author,Ally Carter,Who is the author of Cross My Heart and Hope to Spy?,"['Ally Carter', 'Sarah Leigh Fogleman']",207,1118
Silence,author,Moira Buffini,Who is the author of Silence?,['Moira Buffini'],163,1644
Home,author,Octave Mirbeau,Who is the author of Home?,"['Octave Mirbeau', 'Mirbeau', 'Octave Henri Marie Mirbeau']",118,1708
Stanley,author,Pam Gems,Who is the author of Stanley?,['Pam Gems'],233,417
Axis,author,Robert Charles Wilson,Who is the author of Axis?,['Robert Charles Wilson'],452,1862
The Mahdi,author,A. J. Quinnell,Who is the author of The Mahdi?,"['A. J. Quinnell', 'A.J. Quinnell', 'A J Quinnell', 'AJ Quinnell', 'A.J. Quinnel', 'Philip Nicholson']",385,2647
Still Time,author,Sally Mann,Who is the author of Still Time?,['Sally Mann'],324,7162
Norma,author,Henrik Ibsen,Who is the author of Norma?,"['Henrik Ibsen', 'Henrik Johan Ibsen', 'Henrich Johan Ibsen', 'Henrich Ibsen']",120,31741
Broadway,author,Philip Dunning,Who is the author of Broadway?,"['George Abbott', 'George Francis Abbott', 'Philip Dunning', 'Philip Hart Dunning']",204,136
Roads,author,Seabury Quinn,Who is the author of Roads?,"['Seabury Quinn', 'Seabury Grandin Quinn', 'Jerome Burke']",239,818
The Fruits of Enlightenment,author,Leo Tolstoy,Who is the author of The Fruits of Enlightenment?,"['Leo Tolstoy', 'Tolstoi', 'Tolstoy', 'Lev Nikolaevich, graf Tolstoĭ', 'Lev Nikolayevich, Count Tolstoy', 'Count Lev Tolstoy', 'Leo, graf Tolstoy', 'Lev, Count Tolstoy', 'Lev, graf Tolsztoj', 'Лев Николаевич,', 'c граф Толстой', 'Lew, graf Tolstoi', 'Lev Nikolaevich Tolstoy', 'Lev Tolstoy', 'Count Leo Tolstoy']",240,132219
Ally,author,Karen Traviss,Who is the author of Ally?,['Karen Traviss'],141,1595
Baby,author,Kirsten Thorup,Who is the author of Baby?,['Kirsten Thorup'],83,218
Cathy's Key,author,Sean Stewart,Who is the author of Cathy's Key?,['Sean Stewart'],112,980
Mortal,author,Ted Dekker,Who is the author of Mortal?,"['Ted Dekker', 'Theodore R. Dekker', 'Tosca Lee']",118,3751
Weapon,author,Robert Mason,Who is the author of Weapon?,"['Robert Mason', 'Robert C. Mason']",330,1339
The Wicked Witch of Oz,author,Rachel Cosgrove Payes,Who is the author of The Wicked Witch of Oz?,"['Rachel Cosgrove Payes', 'Rachel Ruth Cosgrove Payes']",284,208
The Pickup,author,Nadine Gordimer,Who is the author of The Pickup?,['Nadine Gordimer'],327,16085
Growing Up,author,Russell Baker,Who is the author of Growing Up?,"['Russell Baker', 'Russell Wayne Baker']",247,1437
Burn,author,James Patrick Kelly,Who is the author of Burn?,"['James Patrick Kelly', 'James Kelly']",111,523
Strangers,author,Taichi Yamada,Who is the author of Strangers?,['Taichi Yamada'],130,169
And So to Murder,author,John Dickson Carr,Who is the author of And So to Murder?,"['John Dickson Carr', 'John Carr']",105,4408
Time to Come,author,August Derleth,Who is the author of Time to Come?,"['August Derleth', 'August William Derleth', 'August W. Derleth']",73,5408
Match,author,Stephen Belber,Who is the author of Match?,['Stephen Belber'],175,526
Underwater,author,Chester Brown,Who is the author of Underwater?,"['Chester Brown', 'CWDB', 'Chester William David Brown']",182,1415
Template,author,Matt Hughes,Who is the author of Template?,"['Matt Hughes', 'Matthew Hughes']",42,539
Rose,author,Tomson Highway,Who is the author of Rose?,['Tomson Highway'],142,3336
Festivals,author,Ruth Manning-Sanders,Who is the author of Festivals?,['Ruth Manning-Sanders'],108,616
Titan,author,Ian Livingstone,Who is the author of Titan?,['Ian Livingstone'],250,3904
It,author,Inger Christensen,Who is the author of It?,['Inger Christensen'],162,666
The Other Place,author,Sharr White,Who is the author of The Other Place?,['Sharr White'],307,332
White Line Fever,author,Lemmy Kilmister,Who is the author of White Line Fever?,"['Lemmy Kilmister', 'Ian Fraser Kilmister', 'Ian Kilmister', 'Lemmy']",293,84504
The Gadget,author,Paul Zindel,Who is the author of The Gadget?,['Paul Zindel'],117,1747
Born to Rock,author,Gordon Korman,Who is the author of Born to Rock?,['Gordon Korman'],260,4536
The Train,author,Flannery O'Connor,Who is the author of The Train?,"[""Flannery O'Connor"", ""Mary Flannery O'Connor""]",191,33368
Jack,author,John Farnham,Who is the author of Jack?,"['John Farnham', 'John Peter Farnham']",185,19917
Good Taste,author,Isaac Asimov,Who is the author of Good Taste?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",212,266562
"American Dream, Global Nightmare",author,Ziauddin Sardar,"Who is the author of American Dream, Global Nightmare?",['Ziauddin Sardar'],99,1517
Jewel,author,Bret Lott,Who is the author of Jewel?,['Bret Lott'],175,534
The Boat,author,Nam Le,Who is the author of The Boat?,['Nam Le'],176,670
Competitors,author,Sergey Lukyanenko,Who is the author of Competitors?,"['Sergey Lukyanenko', 'Sergei Vasilievich Lukyanenko']",128,2438
Patience,author,Jason Sherman,Who is the author of Patience?,"['Jason Sherman', 'Jason Sherman']",65,235
Consequences,author,Rudyard Kipling,Who is the author of Consequences?,"['Rudyard Kipling', 'Joseph Rudyard Kipling', 'R. Kipling', 'Kipling']",131,109852
The Pyramid,author,Ismail Kadare,Who is the author of The Pyramid?,['Ismail Kadare'],224,11143
Leaving Home,author,David French,Who is the author of Leaving Home?,['David French'],320,246
Neglected Aspects of Sufi Study,author,Idries Shah,Who is the author of Neglected Aspects of Sufi Study?,"['Idries Shah', 'Arkon Daraul']",53,4361
Memory,author,Stephen King,Who is the author of Memory?,"['Stephen King', 'Stephen Edwin King', 'Richard Bachman', 'John Swithen']",333,290220
Trauma,author,Patrick McGrath,Who is the author of Trauma?,"['Patrick McGrath', 'Patrick J. McGrath']",164,1633
Souls,author,Joanna Russ,Who is the author of Souls?,['Joanna Russ'],152,2595
Keeping the Moon,author,Sarah Dessen,Who is the author of Keeping the Moon?,['Sarah Dessen'],403,3242
Hostage,author,Robert Crais,Who is the author of Hostage?,"['Robert Crais', 'Elvis Cole', 'Jerry Gret Samouche']",487,3552
Smoke,author,Lisa Unger,Who is the author of Smoke?,"['Lisa Unger', 'Lisa Miscione']",37,1367
Chosen,author,Kristin Cast,Who is the author of Chosen?,['Kristin Cast'],372,708
Rash,author,Pete Hautman,Who is the author of Rash?,"['Pete Hautman', 'Peter Murray Hautman']",158,276
Girl,author,Duncan Fegredo,Who is the author of Girl?,['Duncan Fegredo'],107,366
Renegade's Magic,author,Robin Hobb,Who is the author of Renegade's Magic?,"['Robin Hobb', 'Margaret Astrid Lindholm Ogden', 'Megan Lindholm', 'Margaret Astrid Lindholm']",255,15180
The Living Room,author,Graham Greene,Who is the author of The Living Room?,"['Graham Greene', 'Henry Graham Greene']",249,41226
Messiah,author,Alexander Pope,Who is the author of Messiah?,"['Alexander Pope', 'Pope the Poet', 'Alexander I Pope', 'Alexander, I Pope']",231,38784
What Remains,author,Sally Mann,Who is the author of What Remains?,['Sally Mann'],277,7162
Question and Answer,author,Poul Anderson,Who is the author of Question and Answer?,"['Poul Anderson', 'Poul William Anderson', 'Winston P. Sanders', 'A. A. Craig', 'Michael Karageorge', 'Petronius Arbiter Kingsley', 'P. A. Kingsley']",230,7848
The Pretenders,author,Henrik Ibsen,Who is the author of The Pretenders?,"['Henrik Ibsen', 'Henrik Johan Ibsen', 'Henrich Johan Ibsen', 'Henrich Ibsen']",308,31741
The Saint,author,Burl Barer,Who is the author of The Saint?,"['Wesley Strick', 'Burl Barer', 'Jonathan Hensleigh', 'Jonathan Blair Hensleigh', 'Leslie Charteris', 'Leslie Charles Bowyer-Yin']",249,375
Plum Spooky,author,Janet Evanovich,Who is the author of Plum Spooky?,"['Janet Evanovich', 'Steffie Hall']",159,7933
The Great Perhaps,author,Joe Meno,Who is the author of The Great Perhaps?,['Joe Meno'],83,235
Rivals,author,Jilly Cooper,Who is the author of Rivals?,['Jilly Cooper'],247,3857
In the Red,author,Mark Tavener,Who is the author of In the Red?,"['Mark Tavener', 'Mark Adrian Tavener']",212,230
Relentless,author,Simon Kernick,Who is the author of Relentless?,['Simon Kernick'],105,969
The Universe Around Us,author,James Hopwood Jeans,Who is the author of The Universe Around Us?,"['James Hopwood Jeans', 'James Jeans', 'Sir James Jeans', 'Sir James Hopwood Jeans']",95,2092
What I Was,author,Meg Rosoff,Who is the author of What I Was?,['Meg Rosoff'],167,1122
One of Us,author,Michael Marshall Smith,Who is the author of One of Us?,"['Michael Marshall Smith', 'Michael Marshall', 'Michael Paul Marshall Smith']",156,1267
Against the Odds,author,Elizabeth Moon,Who is the author of Against the Odds?,['Elizabeth Moon'],69,2430
Branches,author,Mitch Cullin,Who is the author of Branches?,['Mitch Cullin'],89,554
An Old Captivity,author,Nevil Shute,Who is the author of An Old Captivity?,"['Nevil Shute', 'Nevil Shute Norway']",316,7630
New York,author,Anthony Burgess,Who is the author of New York?,"['Anthony Burgess', 'John Anthony Burgess Wilson', 'John Burgess Wilson', 'Joseph Kell']",64,24098
The Last Defender of Camelot,author,Roger Zelazny,Who is the author of The Last Defender of Camelot?,"['Roger Zelazny', 'Roger Joseph Zelazny', 'Roger Joseph Christopher Zelazny', 'Harrison Denmark']",194,13690
Calling You,author,Otsuichi,Who is the author of Calling You?,"['Otsuichi', 'Hirotaka Adachi']",201,1236
The Message,author,Isaac Asimov,Who is the author of The Message?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",237,266562
Click,author,Roddy Doyle,Who is the author of Click?,"['Margo Lanagan', 'Deborah Ellis', 'Nick Hornby', 'Nicholas Peter John Hornby', 'David Almond', 'Roddy Doyle', 'Ruaidhrí Ó Dúill', 'Ruaidhri O Duill', 'Gregory Maguire', 'Ruth Ozeki', 'Ruth L. Ozeki', 'Ruth Lounsbury Ozeki', 'Tim Wynne-Jones', 'Linda Sue Park']",291,7820
Ideal,author,Ayn Rand,Who is the author of Ideal?,"['Ayn Rand', ""Alisa Zinov'yevna Rosenbaum""]",211,130724
Soup,author,Robert Newton Peck,Who is the author of Soup?,['Robert Newton Peck'],413,648
Wanted,author,Matsuri Hino,Who is the author of Wanted?,['Matsuri Hino'],287,1528
Coal,author,Audre Lorde,Who is the author of Coal?,"['Audre Lorde', 'Audre Geraldine Lorde']",286,25336
The House,author,Danielle Steel,Who is the author of The House?,"['Danielle Steel', 'Danielle Fernandes Dominique Schülein-Steel', 'Danielle Fernandes Dominique Schuelein-Steel']",172,24351
Players,author,Don DeLillo,Who is the author of Players?,"['Don DeLillo', 'Don Delillo', 'Donald Richard DeLillo']",332,18057
"Sex, Ecology, Spirituality",author,Ken Wilber,"Who is the author of Sex, Ecology, Spirituality?","['Ken Wilber', 'Kenneth Earl Wilber II', 'Kenneth Earl ""Ken"" Wilber Junior']",421,13162
Challenge,author,H. C. McNeile,Who is the author of Challenge?,"['H. C. McNeile', 'Herman Cyril McNeile', 'Cyril McNeile', 'Sapper']",77,1231
Invisible,author,Paul Auster,Who is the author of Invisible?,"['Paul Auster', 'Paul Benjamin', 'Paul Queen', 'Paul Benjamin Auster']",474,15827
Assumption,author,Samuel Beckett,Who is the author of Assumption?,"['Samuel Beckett', 'Samuel Barclay Beckett', 'Andrew Belis', 'Sam Beckett', 'Sa-miao-erh Pei-kʻo-tʻe', 'Samuel Beḳeṭ']",120,53965
The Pianoplayers,author,Anthony Burgess,Who is the author of The Pianoplayers?,"['Anthony Burgess', 'John Anthony Burgess Wilson', 'John Burgess Wilson', 'Joseph Kell']",185,24098
Ice,author,Jacek Dukaj,Who is the author of Ice?,['Jacek Dukaj'],487,2089
Sir Thursday,author,Garth Nix,Who is the author of Sir Thursday?,"['Garth Nix', 'Garth Richard Nix']",322,6409
Sweetness,author,Torgny Lindgren,Who is the author of Sweetness?,"['Torgny Lindgren', 'Gustav Torgny Lindgren']",100,283
Dreams,author,Ivan Bunin,Who is the author of Dreams?,"['Ivan Bunin', 'Ivan Alekseyevich Bunin']",61,5790
The Wyvern's Spur,author,Kate Novak,Who is the author of The Wyvern's Spur?,"['Kate Novak', 'Jeff Grubb']",179,266
Back Home,author,Michelle Magorian,Who is the author of Back Home?,['Michelle Magorian'],398,1275
Palmetto Leaves,author,Harriet Beecher Stowe,Who is the author of Palmetto Leaves?,"['Harriet Beecher Stowe', 'Christopher Crowfield', 'Harriet Elizabeth Beecher Stowe', 'Enrieta Elizabeth Beecher Stowe', 'Harriet Elizabeth Beecher', 'Harriet Elisabeth Beecher Stowe']",228,27174
The City,author,Frans Masereel,Who is the author of The City?,"['Frans Masereel', 'Mai-sui-lai-le', 'Frants Maserel', 'Frans Masareel', 'Fa-lang-shih Mai-sui-lai-le', 'Masereel', 'Frans Maserell']",165,1255
Bonaparte à Malte,author,Frans Sammut,Who is the author of Bonaparte à Malte?,['Frans Sammut'],51,204
A Christmas for Shacktown,author,Carl Barks,Who is the author of A Christmas for Shacktown?,"['Carl Barks', 'The Duck Man', 'The Good Duck Artist']",142,6174
The History of Joseph Smith by His Mother,author,Lucy Mack Smith,Who is the author of The History of Joseph Smith by His Mother?,['Lucy Mack Smith'],245,1799
Nice People,author,Rachel Crothers,Who is the author of Nice People?,['Rachel Crothers'],92,366
The Whole Family,author,Alice Brown,Who is the author of The Whole Family?,"['Henry James', 'Henricus James', 'Alice Brown', 'William Dean Howells', 'William Howells', 'Elizabeth Jordan', 'Elizabeth Garver Jordan']",270,359
The Separation,author,Christopher Priest,Who is the author of The Separation?,"['Christopher Priest', 'Christopher McKenzie Priest', 'John Luther Novak', 'Colin Wedgelock']",259,5639
