subj,prop,obj,question,answers_list
Bell,country,Germany,In what country is Bell?,"['Germany', 'FRG', 'BRD', 'Bundesrepublik Deutschland', 'Federal Republic of Germany', 'de', 'Deutschland', 'GER', 'BR Deutschland', 'DE']"
Forgive,director,Marcos Siega,Who was the director of Forgive?,['Marcos Siega']
The Separation,author,Christopher Priest,Who is the author of The Separation?,"['Christopher Priest', 'Christopher McKenzie Priest', 'John Luther Novak', 'Colin Wedgelock']"
Now and Then,author,Joseph Heller,Who is the author of Now and Then?,['Joseph Heller']
Luís Marques Guedes,occupation,politician,What is Luís Marques Guedes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Billions,producer,Alla Nazimova,Who was the producer of Billions?,"['Alla Nazimova', 'Nazimova']"
The Rookie,producer,Tommy Noonan,Who was the producer of The Rookie?,['Tommy Noonan']
Live and Learn,director,Carl Franklin,Who was the director of Live and Learn?,"['Carl Franklin', 'Carl Michael Franklin']"
Since,director,Andy Warhol,Who was the director of Since?,"['Andy Warhol', 'Andrew Warhola', 'Andrew Warhol', 'Drella', 'Andrej Varchol', 'Andrej Warhol']"
Hari-Bhari,director,Shyam Benegal,Who was the director of Hari-Bhari?,['Shyam Benegal']
Giorgio Venturin,sport,association football,What sport does Giorgio Venturin play?,"['association football', 'football', 'soccer']"
Adrian Olah,sport,association football,What sport does Adrian Olah play?,"['association football', 'football', 'soccer']"
McKendree Long,genre,portrait,What genre is McKendree Long?,"['portrait', 'portraiture', 'portrait art']"
The Wyvern's Spur,author,Kate Novak,Who is the author of The Wyvern's Spur?,"['Kate Novak', 'Jeff Grubb']"
Guilty,screenwriter,Howard Gordon,Who was the screenwriter for Guilty?,"['Howard Gordon', 'Evan Katz']"
Delta,composer,Rob Hubbard,Who was the composer of Delta?,"['Rob Hubbard', 'John York']"
Isaac B. Desha,father,Joseph Desha,Who is the father of Isaac B. Desha?,['Joseph Desha']
The Confessions of Mycroft Holmes: A Paper Chase,author,Marcel Theroux,Who is the author of The Confessions of Mycroft Holmes: A Paper Chase?,"['Marcel Theroux', 'Marcel Raymond Theroux']"
Koko ni Iruzee!,genre,J-pop,What genre is Koko ni Iruzee!?,"['J-pop', 'Japanese pop', 'jpop']"
A Positive,author,Kaaron Warren,Who is the author of A Positive?,['Kaaron Warren']
Khafr County,country,Iran,In what country is Khafr County?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']"
Maubec,country,France,In what country is Maubec?,"['France', 'fr', 'FR', 'République française', 'La France', 'Republic of France', 'French Republic', 'FRA', 'the Hexagon']"
Tomato,genre,alternative rock,What genre is Tomato?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock']"
Interview,director,J. Sasikumar,Who was the director of Interview?,['J. Sasikumar']
Vasili Penyasov,sport,association football,What sport does Vasili Penyasov play?,"['association football', 'football', 'soccer']"
"Thank You, Madame",director,Carmine Gallone,"Who was the director of Thank You, Madame?","['Carmine Gallone', 'Carmelo Gallone']"
Victory,producer,Maurice Tourneur,Who was the producer of Victory?,"['Maurice Tourneur', 'Tourneur']"
Options,genre,science fiction,What genre is Options?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']"
Juan Carlos Stauskas,sport,association football,What sport does Juan Carlos Stauskas play?,"['association football', 'football', 'soccer']"
Overture in G major,composer,Luigi Cherubini,Who was the composer of Overture in G major?,"['Luigi Cherubini', 'Luigi Maria Cherubini', 'Louis-Charles-Zenobi-Salvador-Marie Cherubini', 'Marie Louis Charles Zanobi Salvador Cherubini']"
Alexander,father,Polyperchon,Who is the father of Alexander?,"['Polyperchon', 'Polysperchon']"
Paris,composer,John Cale,Who was the composer of Paris?,"['John Cale', 'John Davies Cale', '00033982178 IPI']"
Macrianus Minor,father,Macrianus Major,Who is the father of Macrianus Minor?,"['Macrianus Major', 'Titus Fulvius Macrianus']"
The Resort,genre,reality television,What genre is The Resort?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']"
John Richardson,religion,Anglicanism,What is the religion of John Richardson?,"['Anglicanism', 'Anglicanism, Anglican Church']"
Abdoul Camara,sport,association football,What sport does Abdoul Camara play?,"['association football', 'football', 'soccer']"
World's End,author,Upton Sinclair,Who is the author of World's End?,"['Upton Sinclair', 'Upton Beall Sinclair', 'Clarke Fitch', 'Frederick Garrison', 'Arthur Stirling', 'Upton Sinclair Jr.']"
Hired!,producer,Jam Handy,Who was the producer of Hired!?,"['Jam Handy', 'Henry Jamison Handy', 'Jamison Handy']"
The Fields,author,Conrad Richter,Who is the author of The Fields?,"['Conrad Richter', 'Conrad Michael Richter']"
,capital,Noginsk,What is the capital of ?,"['Noginsk', 'Rogozhi', 'Bogorodsk']"
Les Palmes de M. Schutz,director,Claude Pinoteau,Who was the director of Les Palmes de M. Schutz?,['Claude Pinoteau']
Toni,screenwriter,Jean Renoir,Who was the screenwriter for Toni?,['Jean Renoir']
Overseas,genre,indie rock,What genre is Overseas?,"['indie rock', 'Independent rock', 'Indie Rock']"
Diarmuid and Grania,composer,Edward Elgar,Who was the composer of Diarmuid and Grania?,"['Edward Elgar', 'Edward William Elgar']"
Bellino Giusto Ghirard,religion,Catholic Church,What is the religion of Bellino Giusto Ghirard?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Dave Alston,place of birth,Chicago,In what city was Dave Alston born?,"['Chicago', 'Chicago, Illinois', 'The Windy City', 'City by the Lake', 'The Queen of the West', 'Chi-Town', 'Chitown', 'The Second City', 'City of Chicago', 'City of Broad Shoulders', 'Chi-Raq', 'Chicago, IL']"
Careers,director,John Francis Dillon,Who was the director of Careers?,"['John Francis Dillon', 'John F. Dillon', 'Jack Dillon', 'John Dillon']"
Truth and Tolerance,author,Benedict XVI,Who is the author of Truth and Tolerance?,"['Benedict XVI', 'Joseph Aloisius Ratzinger', 'Pope Benedict XVI', 'Josef Ratzinger', 'Benedetto XVI', 'Pope Emeritus Benedict XVI', 'Joseph Alois Ratzinger']"
Justice,screenwriter,Rob Grant,Who was the screenwriter for Justice?,"['Rob Grant', 'Robert Grant']"
Gino Bianco,place of birth,Milan,In what city was Gino Bianco born?,"['Milan', 'Milano', 'Milan, Italy', 'Milano, Italy', 'Milano, Italia', 'Mailand', 'Milan Records']"
Serhiy Zayets,place of birth,Berdychiv,In what city was Serhiy Zayets born?,"['Berdychiv', 'Berdichev', 'Barditchev', 'Berdyczów', 'Berdyczow', 'Berdicev', 'Berditchev', 'Berditchov', 'Berditschew', 'Berdytschiw', 'Berdyciv', 'Berdychiv (Ukraine)']"
Paolo Pellizzari,occupation,photographer,What is Paolo Pellizzari's occupation?,"['photographer', 'photog', 'photographers']"
The Assassins: A Radical Sect in Islam,author,Bernard Lewis,Who is the author of The Assassins: A Radical Sect in Islam?,['Bernard Lewis']
David M. Westcott,occupation,politician,What is David M. Westcott's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Sunset,author,Isaak Babel,Who is the author of Sunset?,"['Isaak Babel', 'Isaac Babel', 'Isaak Emmanuilovich Babel', 'Isaac Emmanuilovich Babel']"
The Secret Game,producer,Jesse Louis Lasky,Who was the producer of The Secret Game?,"['Jesse Louis Lasky', 'Jesse L. Lasky', 'Jesse Lasky', 'Jesse Louis Lasky Sr.']"
The Third Round,author,H. C. McNeile,Who is the author of The Third Round?,"['H. C. McNeile', 'Herman Cyril McNeile', 'Cyril McNeile', 'Sapper']"
The Dying Night,genre,science fiction,What genre is The Dying Night?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']"
Chasing,composer,Gemma Hayes,Who was the composer of Chasing?,['Gemma Hayes']
The Man Without Desire,producer,Ivor Novello,Who was the producer of The Man Without Desire?,"['Miles Mander', 'Lionel Henry Mander', 'Ivor Novello', 'David Ivor Davies']"
New Mexico,director,Irving Reis,Who was the director of New Mexico?,['Irving Reis']
Emmanuel Théodose de La Tour d'Auvergne,mother,Marie Anne Mancini,Who is the mother of Emmanuel Théodose de La Tour d'Auvergne?,"['Marie Anne Mancini', 'Marie-Anne Mancini']"
James M. Bingham,place of birth,Perry,In what city was James M. Bingham born?,"['Perry', 'Town of Perry']"
Josh Vanlandingham,sport,basketball,What sport does Josh Vanlandingham play?,"['basketball', 'hoops', 'b-ball', 'basket ball', 'BB', 'Basketball']"
Allahu Akbar,composer,Baburaj,Who was the composer of Allahu Akbar?,['Baburaj']
Roads of Kiarostami,screenwriter,Abbas Kiarostami,Who was the screenwriter for Roads of Kiarostami?,['Abbas Kiarostami']
Jacques Monasch,occupation,politician,What is Jacques Monasch's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
While There is Still Time,director,Charles Chauvel,Who was the director of While There is Still Time?,"['Charles Chauvel', 'Charles Edward Chauvel']"
Light Years,genre,pop punk,What genre is Light Years?,"['pop punk', 'punk-pop', 'pop-punk']"
Lambertz Open by STAWAG,country,Germany,In what country is Lambertz Open by STAWAG?,"['Germany', 'FRG', 'BRD', 'Bundesrepublik Deutschland', 'Federal Republic of Germany', 'de', 'Deutschland', 'GER', 'BR Deutschland', 'DE']"
That's Right,composer,Johnny Cash,Who was the composer of That's Right?,"['Johnny Cash', 'The Man in Black', 'John R. Cash', 'J. R. Cash']"
"John Campbell, 3rd Earl of Breadalbane and Holland",occupation,diplomat,"What is John Campbell, 3rd Earl of Breadalbane and Holland's occupation?","['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Domenico Bologna,place of birth,Turin,In what city was Domenico Bologna born?,"['Turin', 'Torino', 'Turin, Italy']"
Bill Fellowes,place of birth,Bradford,In what city was Bill Fellowes born?,"['Bradford', 'Bradford, Yorkshire']"
Ajay Kumar Parida,occupation,biologist,What is Ajay Kumar Parida's occupation?,"['biologist', 'biologists']"
Philipp Crone,place of birth,Cologne,In what city was Philipp Crone born?,"['Cologne', 'Köln', 'Kreisfreie Stadt Köln', 'Cologne, Germany', 'Cologne (Germany)']"
Clemente Isnard,place of birth,Rio de Janeiro,In what city was Clemente Isnard born?,"['Rio de Janeiro', 'Rio', 'Rio de Janeiro city', 'Río', 'Río de Janeiro']"
45 Minutes from Hollywood,producer,Hal Roach,Who was the producer of 45 Minutes from Hollywood?,['Hal Roach']
Astro,genre,reggae,What genre is Astro?,"['reggae', 'reggae music']"
Appalachian Bible College,religion,Baptists,What is the religion of Appalachian Bible College?,"['Baptists', 'Baptist church', 'Baptist']"
Chaotic,genre,novella,What genre is Chaotic?,['novella']
Time Enough,author,Damon Knight,Who is the author of Time Enough?,"['Damon Knight', 'Damon Francis Knight', 'Stuart Fleming', 'Conanight']"
Secrets,producer,Mary Pickford,Who was the producer of Secrets?,"['Mary Pickford', 'Gladys Marie Smith', 'Gladys Louise Smith', 'Gladys Mary Moore']"
The Gray Cloth with Ten Percent White: A Ladies' Novel,author,Paul Scheerbart,Who is the author of The Gray Cloth with Ten Percent White: A Ladies' Novel?,"['Paul Scheerbart', 'Kuno Küfer', 'Scheerbart, Paul', 'Paul Carl Wilhelm Scheerbart', 'Paul Karl Wilhelm Scheerbart']"
Excursions,composer,Samuel Barber,Who was the composer of Excursions?,"['Samuel Barber', 'Samuel Osborne Barber II', 'Samuel Osborne Barber']"
1986,genre,print news magazine,What genre is 1986?,['print news magazine']
Kabinburi F.C.,sport,association football,What sport does Kabinburi F.C. play?,"['association football', 'football', 'soccer']"
The Lost Bridegroom,producer,Adolph Zukor,Who was the producer of The Lost Bridegroom?,"['Adolph Zukor', 'Adolph Cukor']"
Everything,genre,J-pop,What genre is Everything?,"['J-pop', 'Japanese pop', 'jpop']"
Joni Jenkins,occupation,politician,What is Joni Jenkins's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Women Who Work,director,Manuel Romero,Who was the director of Women Who Work?,"['Manuel Romero', 'Manuel Romeo']"
David Ogrin,place of birth,Waukegan,In what city was David Ogrin born?,"['Waukegan', 'Waukegan, Illinois']"
The Booth,screenwriter,Yoshihiro Nakamura,Who was the screenwriter for The Booth?,['Yoshihiro Nakamura']
Stig Kleven,place of birth,Notodden,In what city was Stig Kleven born?,['Notodden']
Raju Kaji Shakya,place of birth,Dharan,In what city was Raju Kaji Shakya born?,['Dharan']
Girolamo Maria Gotti,religion,Catholic Church,What is the religion of Girolamo Maria Gotti?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Mary's Ankle,screenwriter,Luther Reed,Who was the screenwriter for Mary's Ankle?,['Luther Reed']
Say It Again,genre,country music,What genre is Say It Again?,"['country music', 'country and western', 'country & western', 'country', 'Nashville sound']"
John Shaw-Lefevre,father,Charles Shaw-Lefevre,Who is the father of John Shaw-Lefevre?,"['Charles Shaw-Lefevre', 'Charles Shaw Lefevre']"
Four Fires,author,Bryce Courtenay,Who is the author of Four Fires?,"['Bryce Courtenay', 'Arthur Bryce Courtenay']"
"Harvey Peltier, Sr.",occupation,lawyer,"What is Harvey Peltier, Sr.'s occupation?","['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Twenty Minutes of Love,screenwriter,Charlie Chaplin,Who was the screenwriter for Twenty Minutes of Love?,"['Charlie Chaplin', 'Charles Spencer Chaplin', 'Charles Chaplin', 'Sir Charles Spencer Chaplin']"
The Turning Point,director,Fridrikh Ermler,Who was the director of The Turning Point?,"['Fridrikh Ermler', 'Fridrikh Markovich Ermler']"
Gaandharvam,composer,Baburaj,Who was the composer of Gaandharvam?,['Baburaj']
III,genre,country music,What genre is III?,"['country music', 'country and western', 'country & western', 'country', 'Nashville sound']"
Mane,screenwriter,Girish Kasaravalli,Who was the screenwriter for Mane?,['Girish Kasaravalli']
Ariarathes VI of Cappadocia,father,Ariarathes V of Cappadocia,Who is the father of Ariarathes VI of Cappadocia?,['Ariarathes V of Cappadocia']
Pedar,director,Majid Majidi,Who was the director of Pedar?,['Majid Majidi']
Thomas Hinds,occupation,politician,What is Thomas Hinds's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Eric Defoort,place of birth,Ypres,In what city was Eric Defoort born?,"['Ypres', 'leper']"
Ron Douglas,sport,association football,What sport does Ron Douglas play?,"['association football', 'football', 'soccer']"
P. J. Moloney,occupation,politician,What is P. J. Moloney's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Belonging,screenwriter,Jed Whedon,Who was the screenwriter for Belonging?,"['Jed Whedon', 'Jed Tucker Whedon', 'Maurissa Tancharoen', 'Maurissa Tancharoen Whedon']"
The Owl,screenwriter,Bob Forward,Who was the screenwriter for The Owl?,"['Bob Forward', 'Robert D. Forward']"
Betrayal,genre,crime film,What genre is Betrayal?,"['crime film', 'crime movie']"
Drifting,screenwriter,Tod Browning,Who was the screenwriter for Drifting?,"['Tod Browning', 'Charles Albert Browning']"
Martin Holley,religion,Catholic Church,What is the religion of Martin Holley?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Territory Cops,genre,factual television,What genre is Territory Cops?,"['factual television', 'non-fiction television', 'nonfiction television', 'factual television program', 'non-fiction television program', 'nonfiction television program']"
Flame,director,Yu Hyun-mok,Who was the director of Flame?,"['Yu Hyun-mok', 'Yu Hyeon-mok']"
Lizards,director,Allan Arkush,Who was the director of Lizards?,['Allan Arkush']
Jim Thomas,sport,basketball,What sport does Jim Thomas play?,"['basketball', 'hoops', 'b-ball', 'basket ball', 'BB', 'Basketball']"
The Unpainted Woman,screenwriter,Sinclair Lewis,Who was the screenwriter for The Unpainted Woman?,"['Sinclair Lewis', 'Harry Sinclair Lewis']"
Will,genre,electronic music,What genre is Will?,"['electronic music', 'electrosonic']"
Stand By Your Screen,author,Roy Minton,Who is the author of Stand By Your Screen?,['Roy Minton']
Ed Parker Jr.,place of birth,Glendale,In what city was Ed Parker Jr. born?,"['Glendale', 'Glendale, CA', 'Glendale, California', 'Glendale, California, USA']"
Maiwa's Revenge,author,H. Rider Haggard,Who is the author of Maiwa's Revenge?,"['H. Rider Haggard', 'Henry Rider Haggard', 'Sir Henry Rider Haggard', 'H. R. Haggard', 'H Rider Haggard']"
"Anselm Marshal, 6th Earl of Pembroke",father,"William Marshal, 1st Earl of Pembroke","Who is the father of Anselm Marshal, 6th Earl of Pembroke?","['William Marshal, 1st Earl of Pembroke', 'William the Marshal', 'Williame le Mareschal', 'William Marshal']"
Koudai Tsukakoshi,place of birth,Tochigi Prefecture,In what city was Koudai Tsukakoshi born?,['Tochigi Prefecture']
White Gold,screenwriter,John Jopson,Who was the screenwriter for White Gold?,"['John Jopson', 'John Charles Jopson']"
Ettore Panizza,genre,opera,What genre is Ettore Panizza?,"['opera', 'lyric drama', 'European opera', 'Western classical opera']"
The Letter,director,Manoel de Oliveira,Who was the director of The Letter?,"['Manoel de Oliveira', 'Manoel Cândido Pinto de Oliveira']"
Luciano Lollo,sport,association football,What sport does Luciano Lollo play?,"['association football', 'football', 'soccer']"
The Aware,author,Glenda Larke,Who is the author of The Aware?,"['Glenda Larke', 'Glenda Noramly']"
Barabbas,director,Roger Young,Who was the director of Barabbas?,['Roger Young']
Colony,author,Rob Grant,Who is the author of Colony?,"['Rob Grant', 'Robert Grant']"
Cooper Smeaton,place of birth,Carleton Place,In what city was Cooper Smeaton born?,['Carleton Place']
Genesis,genre,folk rock,What genre is Genesis?,"['folk rock', 'Folk Rock']"
Dubicze Osoczne,country,Poland,In what country is Dubicze Osoczne?,"['Poland', 'POL', 'Republic of Poland', 'PL', 'Polska']"
Falling,author,Anne Provoost,Who is the author of Falling?,['Anne Provoost']
Chris,screenwriter,Jack Thorne,Who was the screenwriter for Chris?,['Jack Thorne']
Richard Vaughan,occupation,bishop,What is Richard Vaughan's occupation?,['bishop']
Evan Abraham,place of birth,Swansea,In what city was Evan Abraham born?,"['Swansea', 'Abertawe']"
Harold Reetz,place of birth,Watseka,In what city was Harold Reetz born?,"['Watseka', 'Watseka, Illinois']"
Clarence Beck,place of birth,Harrisburg,In what city was Clarence Beck born?,"['Harrisburg', 'Capital of Pennsylvania', 'Harrisburg, Pennsylvania']"
The Idea,author,Berthold Bartosch,Who is the author of The Idea?,['Berthold Bartosch']
A Married Man's Story,author,Katherine Mansfield,Who is the author of A Married Man's Story?,"['Katherine Mansfield', 'Katherine Mansfield Beauchamp Murry', 'Kathleen Murry', 'Katherine Beauchamp Mansfield', 'Kathleen Mansfield Murry']"
Indrek Pertelson,sport,judo,What sport does Indrek Pertelson play?,['judo']
Intrigue,producer,Samuel Bischoff,Who was the producer of Intrigue?,['Samuel Bischoff']
Mariano Chao,place of birth,San Fernando,In what city was Mariano Chao born?,"['San Fernando', 'San Fernando, Buenos Aires']"
Pierre-Yves Barré,place of birth,Paris,In what city was Pierre-Yves Barré born?,"['Paris', 'City of Light', 'Paris, France']"
In Deep,genre,short story,What genre is In Deep?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction', 'short story', 'tale', 'pripovijetka']"
Bence Balogh,sport,association football,What sport does Bence Balogh play?,"['association football', 'football', 'soccer']"
Kiss Me Again,composer,Victor Herbert,Who was the composer of Kiss Me Again?,"['Victor Herbert', 'Victor August Herbert']"
Henk Bleker,occupation,politician,What is Henk Bleker's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Bisse,country,Hungary,In what country is Bisse?,"['Hungary', 'hu', '🇭🇺', 'HUN']"
Meltdown,author,Thomas Woods,Who is the author of Meltdown?,['Thomas Woods']
Race Against Time,author,Carolyn Keene,Who is the author of Race Against Time?,"['Carolyn Keene', 'Caroline Quine']"
Low Life,genre,non-fiction,What genre is Low Life?,"['non-fiction', 'nonfiction', 'non fiction']"
Invasion from Inner Earth,director,Bill Rebane,Who was the director of Invasion from Inner Earth?,['Bill Rebane']
Good Question,genre,rhythm and blues,What genre is Good Question?,"['rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B']"
The Search,author,Najib Mahfouz,Who is the author of The Search?,"['Najib Mahfouz', 'Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha']"
Superstar,screenwriter,Xavier Giannoli,Who was the screenwriter for Superstar?,['Xavier Giannoli']
Le Mentor,director,Jean-Pierre Mocky,Who was the director of Le Mentor?,['Jean-Pierre Mocky']
CIKR-FM,country,Canada,In what country is CIKR-FM?,"['Canada', 'Dominion of Canada', 'British North America', 'CAN', 'CA', 'ca', 'can', 'Can.']"
Kijevac,country,Serbia,In what country is Kijevac?,"['Serbia', '🇷🇸', 'Republic of Serbia', 'Republika Srbija', 'rs', 'Srbija', 'SRB', 'RS']"
Miracle,author,Danielle Steel,Who is the author of Miracle?,"['Danielle Steel', 'Danielle Fernandes Dominique Schülein-Steel', 'Danielle Fernandes Dominique Schuelein-Steel']"
Roosevelt Chapman,sport,basketball,What sport does Roosevelt Chapman play?,"['basketball', 'hoops', 'b-ball', 'basket ball', 'BB', 'Basketball']"
The Accused,producer,Mario Soffici,Who was the producer of The Accused?,['Mario Soffici']
Phil Williams,place of birth,Birkenhead,In what city was Phil Williams born?,['Birkenhead']
DM Sevilla,occupation,actor,What is DM Sevilla's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Jan V of Zator,father,Wenceslaus I of Zator,Who is the father of Jan V of Zator?,"['Wenceslaus I of Zator', 'Václav Osvětimsko-Zátorský']"
John Floyd,occupation,politician,What is John Floyd's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Gaustadalléen,country,Norway,In what country is Gaustadalléen?,"['Norway', 'Kingdom of Norway', 'Norge', 'Norvège\u200f', 'NO', 'NOR', 'no', 'Noreg', 'Norwegen\u200f', '🇳🇴']"
Peggy Lokando,sport,association football,What sport does Peggy Lokando play?,"['association football', 'football', 'soccer']"
Colin James,religion,Anglicanism,What is the religion of Colin James?,"['Anglicanism', 'Anglicanism, Anglican Church']"
Nine Lives Are Not Enough,screenwriter,"Fred Niblo, Jr.",Who was the screenwriter for Nine Lives Are Not Enough?,"['Fred Niblo, Jr.']"
Seven Songs for Malcolm X,screenwriter,John Akomfrah,Who was the screenwriter for Seven Songs for Malcolm X?,['John Akomfrah']
Tine,screenwriter,Knud Leif Thomsen,Who was the screenwriter for Tine?,['Knud Leif Thomsen']
A Darker Domain,author,Val McDermid,Who is the author of A Darker Domain?,['Val McDermid']
Sons,director,Zhang Yuan,Who was the director of Sons?,"['Zhang Yuan', 'Yuan Zhang']"
Day by Day,director,Alfredo Giannetti,Who was the director of Day by Day?,['Alfredo Giannetti']
Grace,screenwriter,Melinda Hsu Taylor,Who was the screenwriter for Grace?,['Melinda Hsu Taylor']
Huntington Wilson,occupation,diplomat,What is Huntington Wilson's occupation?,['diplomat']
Sandhya,composer,Baburaj,Who was the composer of Sandhya?,['Baburaj']
Zhao Dezhao,father,Emperor Taizu of Song,Who is the father of Zhao Dezhao?,"['Emperor Taizu of Song', 'Tai Zu', 'Zhao Kuangyin']"
Christopher Beazley,occupation,politician,What is Christopher Beazley's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Christopher Butson,occupation,priest,What is Christopher Butson's occupation?,"['priest', 'reverend', 'priestess']"
Thomas,author,Robin Jarvis,Who is the author of Thomas?,['Robin Jarvis']
Voices,composer,Jimmy Webb,Who was the composer of Voices?,"['Jimmy Webb', 'Jim Webb', 'James Layne Webb', 'Jimmy Layne Webb', 'Jimmy L. Webb']"
Hodh Ech Chargui Region,capital,Néma,What is the capital of Hodh Ech Chargui Region?,"['Néma', 'Nema']"
Anniversary,author,Isaac Asimov,Who is the author of Anniversary?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']"
Marc Santo-Roman,sport,chess,What sport does Marc Santo-Roman play?,"['chess', 'International Chess', 'Modern European Chess', 'Western Chess', 'chess game']"
Stephen Connor,sport,association football,What sport does Stephen Connor play?,"['association football', 'football', 'soccer']"
Ricardo Gónzalez Reinoso,sport,association football,What sport does Ricardo Gónzalez Reinoso play?,"['association football', 'football', 'soccer']"
FK Mladost Bački Jarak,sport,association football,What sport does FK Mladost Bački Jarak play?,"['association football', 'football', 'soccer']"
Eduard Looijenga,occupation,mathematician,What is Eduard Looijenga's occupation?,['mathematician']
Info,genre,industrial rock,What genre is Info?,['industrial rock']
About Time,author,Paul Davies,Who is the author of About Time?,"['Paul Davies', 'Paul Charles William Davies']"
On the Run,genre,mandopop,What genre is On the Run?,"['mandopop', 'Mandarin popular music', 'mandapop']"
Yny lhyvyr hwnn,author,John Prise,Who is the author of Yny lhyvyr hwnn?,"['John Prise', 'John Price', 'John Prys']"
Pilot,director,Andy Ackerman,Who was the director of Pilot?,"['Andy Ackerman', 'Robert Andrew Ackerman']"
By Indian Post,director,John Ford,Who was the director of By Indian Post?,"['John Ford', 'Jack Ford', 'John Martin Feeney']"
Vapa,country,Serbia,In what country is Vapa?,"['Serbia', '🇷🇸', 'Republic of Serbia', 'Republika Srbija', 'rs', 'Srbija', 'SRB', 'RS']"
Symphony No. 8,composer,Einojuhani Rautavaara,Who was the composer of Symphony No. 8?,"['Einojuhani Rautavaara', 'Eino Juhani Rautavaara', 'Eino-Juhani Rautavaara']"
Carsten Carlsen,occupation,pianist,What is Carsten Carlsen's occupation?,"['composer', 'pianist']"
Army,director,Keisuke Kinoshita,Who was the director of Army?,['Keisuke Kinoshita']
Izumi Iimura,place of birth,Japan,In what city was Izumi Iimura born?,"['Japan', 'State of Japan', 'Land of the Rising Sun', 'Nihon', 'Nippon', 'JP', 'Nippon-koku', 'Nihon-koku', 'JA', 'JPN', 'jp', 'JAP', 'Ja', 'Jap']"
One Day at a Time,author,Danielle Steel,Who is the author of One Day at a Time?,"['Danielle Steel', 'Danielle Fernandes Dominique Schülein-Steel', 'Danielle Fernandes Dominique Schuelein-Steel']"
Dilemma,author,Jon Cleary,Who is the author of Dilemma?,"['Jon Cleary', 'Jon Stephen Cleary']"
Thomas Williams,religion,Christadelphians,What is the religion of Thomas Williams?,"['Christadelphians', 'Christadelphianism', 'Christodelphian']"
Cassiá,sport,association football,What sport does Cassiá play?,"['association football', 'football', 'soccer']"
Memories,composer,Egbert Van Alstyne,Who was the composer of Memories?,"['Egbert Van Alstyne', '00000690035 IPI', '00071737275 IPI', 'Egbert Anson Van Alstyne']"
Time to Love,screenwriter,Metin Erksan,Who was the screenwriter for Time to Love?,['Metin Erksan']
Uñón District,country,Peru,In what country is Uñón District?,"['Peru', 'pe', 'Republic of Peru', 'República del Perú', '🇵🇪', 'Republica del Peru']"
Music in the Air,composer,Jerome Kern,Who was the composer of Music in the Air?,"['Jerome Kern', 'Jerome David Kern']"
Fruits,author,Valerie Bloom,Who is the author of Fruits?,['Valerie Bloom']
Black President,genre,punk rock,What genre is Black President?,"['punk rock', 'punk', 'punk music']"
John Gwynn,religion,Anglicanism,What is the religion of John Gwynn?,"['Anglicanism', 'Anglicanism, Anglican Church']"
Eli,producer,Jan Akkerman,Who was the producer of Eli?,['Jan Akkerman']
Riceyman Steps,author,Arnold Bennett,Who is the author of Riceyman Steps?,"['Arnold Bennett', 'Enoch Arnold Bennett']"
"Prelude in F major, Op. 49, No. 2",composer,Alexander Scriabin,"Who was the composer of Prelude in F major, Op. 49, No. 2?",['Alexander Scriabin']
The Director,author,Henry Denker,Who is the author of The Director?,['Henry Denker']
